iter	RMSE
0	129.9289672
1	128.3119026
2	126.899052
3	125.5139204
4	124.2128838
5	123.0280409
6	121.9875848
7	121.0283552
8	120.1058286
9	119.3096173
10	118.5535979
11	117.8067334
12	117.1446946
13	116.5321214
14	116.003775
15	115.4557889
16	114.9650496
17	114.4983875
18	114.1120565
19	113.6688698
20	113.2827136
21	112.9391931
22	112.5923174
23	112.2675343
24	111.9688459
25	111.7081451
26	111.4361419
27	111.1786429
28	110.9477157
29	110.7411955
30	110.549631
31	110.3497454
32	110.1768682
33	110.0128707
34	109.8499524
35	109.7113077
36	109.5751396
37	109.4530587
38	109.3360156
39	109.1999686
40	109.0731838
41	108.9809315
42	108.847179
43	108.7266365
44	108.6161522
45	108.519098
46	108.4363246
47	108.3268975
48	108.2385741
49	108.1552143
50	108.0777486
51	107.9959565
52	107.9292936
53	107.8694872
54	107.7850322
55	107.7297469
56	107.6427367
57	107.5811893
58	107.5137249
59	107.4449848
60	107.385586
61	107.3133402
62	107.2489854
63	107.1955984
64	107.1513947
65	107.0758324
66	107.0044601
67	106.9514532
68	106.8915377
69	106.822032
70	106.7824152
71	106.7488587
72	106.6913843
73	106.6246381
74	106.5751118
75	106.5300647
76	106.4712127
77	106.4358174
78	106.4001718
79	106.3581064
80	106.323997
81	106.292437
82	106.2586463
83	106.2190898
84	106.1825785
85	106.1490191
86	106.1120966
87	106.0716105
88	106.0332548
89	105.9939811
90	105.9597091
91	105.9300816
92	105.8947882
93	105.8576789
94	105.8108076
95	105.782311
96	105.7515054
97	105.7194563
98	105.6924072
99	105.6559766
100	105.6249199
101	105.5813045
102	105.5333456
103	105.5001854
104	105.4756707
105	105.4498452
106	105.4251811
107	105.3915596
108	105.3627633
109	105.3435783
110	105.321345
111	105.2984798
112	105.268405
113	105.2378226
114	105.2107318
115	105.1856229
116	105.1642155
117	105.1438194
118	105.1162594
119	105.0968684
120	105.0755881
121	105.0517567
122	105.0236849
123	105.0004738
124	104.9795078
125	104.9564374
126	104.9302036
127	104.9186524
128	104.8808085
129	104.8470989
130	104.8250259
131	104.8042971
132	104.7897078
133	104.7630646
134	104.7404411
135	104.722002
136	104.6931162
137	104.6676104
138	104.6410386
139	104.6147955
140	104.5937749
141	104.5643943
142	104.5440008
143	104.5260298
144	104.5120049
145	104.4875987
146	104.4714612
147	104.4553274
148	104.4327212
149	104.3958233
150	104.3794989
151	104.3614536
152	104.3405505
153	104.3164653
154	104.2960424
155	104.2711516
156	104.2524544
157	104.2269762
158	104.2044869
159	104.1813996
160	104.1663734
161	104.1535484
162	104.1152826
163	104.0926501
164	104.0752797
165	104.052878
166	104.0383576
167	104.0218916
168	104.0098527
169	103.9967648
170	103.9728023
171	103.9549495
172	103.9437682
173	103.9282776
174	103.9154692
175	103.9023347
176	103.8799118
177	103.8576082
178	103.8480541
179	103.827427
180	103.8169379
181	103.8017469
182	103.7760553
183	103.7511984
184	103.7349806
185	103.7098277
186	103.6930273
187	103.6705244
188	103.6539683
189	103.6438175
190	103.6223174
191	103.6054337
192	103.5862814
193	103.5713087
194	103.5470467
195	103.5253746
196	103.5113907
197	103.4934602
198	103.4748268
199	103.4507045
200	103.4292323
201	103.4090528
202	103.3820303
203	103.3606374
204	103.348188
205	103.3309064
206	103.3106178
207	103.2930928
208	103.2628197
209	103.2369773
210	103.216381
211	103.1961306
212	103.1787284
213	103.1608959
214	103.1452532
215	103.127249
216	103.1192366
217	103.095781
218	103.0813845
219	103.0612196
220	103.0469584
221	103.0304936
222	103.018295
223	103.0041809
224	102.9899304
225	102.9754068
226	102.9631313
227	102.9398976
228	102.9169855
229	102.9008213
230	102.8857603
231	102.8566553
232	102.8356331
233	102.8069064
234	102.7886271
235	102.7769868
236	102.7567433
237	102.7461472
238	102.7267424
239	102.7049911
240	102.6800675
241	102.6563228
242	102.645345
243	102.6266636
244	102.6107918
245	102.5955603
246	102.5730657
247	102.5533849
248	102.5358865
249	102.5194027
250	102.5028078
251	102.4893104
252	102.4687605
253	102.4520164
254	102.4285357
255	102.4068415
256	102.3957424
257	102.3812451
258	102.3685222
259	102.3569874
260	102.3412659
261	102.3211897
262	102.3002937
263	102.2873056
264	102.2700199
265	102.2502782
266	102.242745
267	102.2265172
268	102.2072861
269	102.1913539
270	102.1756194
271	102.1567701
272	102.1405354
273	102.1283129
274	102.1086582
275	102.0910898
276	102.0775239
277	102.0560433
278	102.0470258
279	102.0319025
280	102.0214946
281	102.0007841
282	101.9838589
283	101.9688476
284	101.9536951
285	101.9391233
286	101.9264215
287	101.9080471
288	101.8976268
289	101.8831255
290	101.8748957
291	101.857586
292	101.8437208
293	101.8271782
294	101.809901
295	101.7852695
296	101.7730767
297	101.7574415
298	101.7397515
299	101.725725
300	101.7097629
301	101.6948981
302	101.6799136
303	101.6676223
304	101.658121
305	101.6381888
306	101.6224933
307	101.606253
308	101.5937253
309	101.5750484
310	101.567017
311	101.55597
312	101.5433823
313	101.531909
314	101.5196603
315	101.5056848
316	101.4900092
317	101.4768649
318	101.4561342
319	101.4470668
320	101.4363865
321	101.4234007
322	101.4108872
323	101.3987417
324	101.3847054
325	101.3707533
326	101.3541817
327	101.3396529
328	101.3215976
329	101.3047455
330	101.2950186
331	101.2819819
332	101.2653355
333	101.2534611
334	101.2415493
335	101.2338611
336	101.2223766
337	101.2032606
338	101.1864671
339	101.1740769
340	101.160652
341	101.1501003
342	101.1427065
343	101.1255098
344	101.112916
345	101.1064608
346	101.0897319
347	101.0768563
348	101.0608796
349	101.0413992
350	101.0301006
351	101.0164843
352	101.0104249
353	100.9966482
354	100.9814976
355	100.9688614
356	100.9516932
357	100.9396733
358	100.9271058
359	100.9155156
360	100.8998137
361	100.8915877
362	100.8713594
363	100.859675
364	100.8466922
365	100.8283136
366	100.8242202
367	100.8085184
368	100.794801
369	100.779492
370	100.7698583
371	100.7581653
372	100.7422858
373	100.724772
374	100.712516
375	100.6953071
376	100.6868206
377	100.6694743
378	100.6556144
379	100.6341799
380	100.6236659
381	100.6085352
382	100.5935726
383	100.5667052
384	100.5521161
385	100.5366878
386	100.5173046
387	100.5015803
388	100.4940793
389	100.4830659
390	100.4676158
391	100.4562408
392	100.4471695
393	100.4360079
394	100.4235754
395	100.4092456
396	100.4000506
397	100.3918767
398	100.3796548
399	100.3682645
400	100.3557004
401	100.3423308
402	100.3290134
403	100.3141008
404	100.3063159
405	100.2889282
406	100.2724157
407	100.2613699
408	100.2493674
409	100.2368665
410	100.2206608
411	100.2092193
412	100.1994234
413	100.1840384
414	100.1650552
415	100.1517673
416	100.1437937
417	100.1351402
418	100.1206243
419	100.1081236
420	100.0941168
421	100.0801654
422	100.0661694
423	100.0514509
424	100.0369915
425	100.0292853
426	100.0145915
427	100.0005208
428	99.98327023
429	99.97266374
430	99.95936147
431	99.94633705
432	99.93803305
433	99.92741552
434	99.90967186
435	99.89937887
436	99.88588994
437	99.88108828
438	99.87044171
439	99.85328194
440	99.84492029
441	99.83642234
442	99.82965667
443	99.81741232
444	99.8009686
445	99.78729359
446	99.7742364
447	99.75841354
448	99.74278225
449	99.73093016
450	99.72796683
451	99.72489453
452	99.70956482
453	99.69363362
454	99.68377482
455	99.67103588
456	99.66165703
457	99.64897601
458	99.63453985
459	99.61636825
460	99.60515618
461	99.60135616
462	99.59213378
463	99.5840228
464	99.57597626
465	99.56788056
466	99.56093791
467	99.55267332
468	99.54371017
469	99.53264562
470	99.5226279
471	99.50751756
472	99.49640802
473	99.48523865
474	99.47341541
475	99.4630826
476	99.45192327
477	99.44035621
478	99.43047329
479	99.42011429
480	99.41229991
481	99.40386158
482	99.39198592
483	99.38072777
484	99.36454213
485	99.35311702
486	99.34651892
487	99.33402933
488	99.31734028
489	99.31247072
490	99.30177968
491	99.29140479
492	99.27427483
493	99.26214731
494	99.25264746
495	99.23913585
496	99.23009796
497	99.22092554
498	99.20692904
499	99.19467247
500	99.18199639
501	99.16283282
502	99.14607722
503	99.13646963
504	99.12355952
505	99.1132995
506	99.102295
507	99.09265423
508	99.08395692
509	99.07334789
510	99.06275606
511	99.05265571
512	99.04239693
513	99.03414506
514	99.02358202
515	99.00760089
516	98.99878739
517	98.98804675
518	98.97132541
519	98.96068481
520	98.95352831
521	98.94224552
522	98.92774586
523	98.91703352
524	98.90606593
525	98.89556055
526	98.88601111
527	98.88039598
528	98.86549219
529	98.85631896
530	98.84641363
531	98.83450309
532	98.82127704
533	98.81269352
534	98.80253623
535	98.78753299
536	98.77646578
537	98.76604404
538	98.75656749
539	98.74908672
540	98.74031826
541	98.73372058
542	98.72322146
543	98.71656696
544	98.70799978
545	98.69082487
546	98.67746062
547	98.66951616
548	98.66607681
549	98.65439728
550	98.64813001
551	98.63916801
552	98.62886312
553	98.61864757
554	98.60782733
555	98.5949558
556	98.58072784
557	98.57039775
558	98.56116236
559	98.55067505
560	98.54236148
561	98.53314743
562	98.52424183
563	98.5129061
564	98.50319535
565	98.49495063
566	98.4893995
567	98.47975258
568	98.46558651
569	98.45640021
570	98.44603773
571	98.43830122
572	98.43264513
